gvkey,permno,adate,qdate,public_date,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_at,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,PEG_trailing,divyield,PEG_1yrforward,PEG_ltgforward,TICKER,cusip
001690,14593,2018-09-30,2018-09-30,2018-11-30,17.191,0.100,14.855,14.542,14.674,14.994,14.994,3.194,10.944,0.231,0.224,0.301,0.266,0.418,0.275,0.265,0.216,0.436,0.300,0.183,0.494,0.239,0.494,1.204,0.422,0.303,0.533,0.467,0.570,0.467,0.034,0.028,0.256,0.030,0.373,0.313,1.432,0.181,0.452,0.363,0.684,0.663,0.299,0.828,6.260,0.871,0.707,0.614,2.413,19.374,21.809,0.567,1.090,1.124,,35.060,0.716,6.268,2.927,1.321,2.477,18.335,0.054,0.000,0.000,-0.048,7.878,1.486,1.64%,1.137,1.153,AAPL,03783310
001690,14593,2018-09-30,2018-09-30,2018-12-31,15.135,0.100,14.855,12.845,12.961,13.244,13.244,2.812,9.635,0.231,0.224,0.301,0.266,0.418,0.275,0.265,0.216,0.436,0.300,0.183,0.494,0.239,0.494,1.204,0.422,0.303,0.533,0.467,0.570,0.467,0.034,0.028,0.256,0.030,0.373,0.313,1.432,0.181,0.452,0.363,0.684,0.663,0.299,0.828,6.260,0.871,0.707,0.614,2.413,19.374,21.809,0.567,1.090,1.124,,35.060,0.716,6.268,2.927,1.321,2.477,18.335,0.054,0.000,0.000,-0.048,6.936,1.312,1.85%,1.151,1.019,AAPL,03783310
001690,14593,2018-09-30,2018-09-30,2019-01-31,15.921,0.100,14.855,13.554,13.676,13.975,13.975,2.958,10.135,0.231,0.224,0.301,0.266,0.418,0.275,0.265,0.216,0.436,0.300,0.183,0.494,0.239,0.494,1.204,0.422,0.303,0.533,0.467,0.570,0.467,0.034,0.028,0.256,0.030,0.373,0.313,1.432,0.181,0.452,0.363,0.684,0.663,0.299,0.828,6.260,0.871,0.707,0.614,2.413,19.374,21.809,0.567,1.090,1.124,,35.060,0.716,6.268,2.927,1.321,2.477,18.335,0.054,0.000,0.000,-0.048,7.296,1.385,1.75%,5.739,1.075,AAPL,03783310
001690,14593,2018-09-30,2018-12-31,2019-02-28,16.749,0.158,12.647,3.604,3.635,3.560,3.560,3.124,10.767,0.235,0.227,0.303,0.259,0.426,0.267,0.272,0.213,0.484,0.281,0.183,0.486,0.283,0.486,1.048,0.405,0.306,0.548,0.452,0.546,0.452,0.035,0.029,0.315,0.044,0.260,0.320,1.468,0.173,0.407,0.389,0.787,0.753,0.299,0.817,6.420,0.823,0.679,0.578,2.119,18.500,19.945,0.773,1.229,1.285,,26.635,0.718,7.759,3.484,1.227,2.239,9.094,0.056,0.000,0.000,-0.044,6.925,0.354,1.69%,-0.831,0.274,AAPL,03783310
001690,14593,2018-09-30,2018-12-31,2019-03-31,18.374,0.158,12.647,3.954,3.987,3.905,3.905,3.427,11.811,0.235,0.227,0.303,0.259,0.426,0.267,0.272,0.213,0.484,0.281,0.183,0.486,0.283,0.486,1.048,0.405,0.306,0.548,0.452,0.546,0.452,0.035,0.029,0.315,0.044,0.260,0.320,1.468,0.173,0.407,0.389,0.787,0.753,0.299,0.817,6.420,0.823,0.679,0.578,2.119,18.500,19.945,0.773,1.229,1.285,,26.635,0.718,7.759,3.484,1.227,2.239,9.094,0.056,0.000,0.000,-0.044,7.597,0.389,1.54%,-0.912,0.300,AAPL,03783310
001690,14593,2018-09-30,2018-12-31,2019-04-30,18.941,0.158,12.647,4.177,4.212,4.126,4.126,3.532,12.176,0.235,0.227,0.303,0.259,0.426,0.267,0.272,0.213,0.484,0.281,0.183,0.486,0.283,0.486,1.048,0.405,0.306,0.548,0.452,0.546,0.452,0.035,0.029,0.315,0.044,0.260,0.320,1.468,0.173,0.407,0.389,0.787,0.753,0.299,0.817,6.420,0.823,0.679,0.578,2.119,18.500,19.945,0.773,1.229,1.285,,26.635,0.718,7.759,3.484,1.227,2.239,9.094,0.056,0.000,0.000,-0.044,7.832,0.411,1.46%,-0.963,0.317,AAPL,03783310
001690,14593,2018-09-30,2019-03-31,2019-05-31,16.201,0.121,13.123,3.728,3.754,3.675,3.675,3.119,11.210,0.248,0.221,0.299,0.253,0.426,0.261,0.267,0.212,0.488,0.280,0.183,0.490,0.285,0.490,0.970,0.388,0.307,0.544,0.456,0.557,0.456,0.039,0.032,0.308,0.039,0.271,0.319,1.480,0.181,0.414,0.380,0.757,0.705,0.299,0.833,6.242,0.837,0.688,0.584,2.209,16.819,18.056,0.746,1.206,1.255,,30.010,0.722,7.452,3.442,1.260,2.317,9.952,0.059,0.000,0.000,-0.041,7.609,0.354,1.76%,-1.018,0.337,AAPL,03783310
001690,14593,2018-09-30,2019-03-31,2019-06-30,18.038,0.121,13.123,4.215,4.244,4.154,4.154,3.473,12.481,0.248,0.221,0.299,0.253,0.426,0.261,0.267,0.212,0.488,0.280,0.183,0.490,0.285,0.490,0.970,0.388,0.307,0.544,0.456,0.557,0.456,0.039,0.032,0.308,0.039,0.271,0.319,1.480,0.181,0.414,0.380,0.757,0.705,0.299,0.833,6.242,0.837,0.688,0.584,2.209,16.819,18.056,0.746,1.206,1.255,,30.010,0.722,7.452,3.442,1.260,2.317,9.952,0.059,0.000,0.000,-0.041,8.472,0.400,1.56%,-1.053,0.381,AAPL,03783310
001690,14593,2018-09-30,2019-03-31,2019-07-31,19.364,0.121,13.123,4.537,4.568,4.472,4.472,3.728,13.399,0.248,0.221,0.299,0.253,0.426,0.261,0.267,0.212,0.488,0.280,0.183,0.490,0.285,0.490,0.970,0.388,0.307,0.544,0.456,0.557,0.456,0.039,0.032,0.308,0.039,0.271,0.319,1.480,0.181,0.414,0.380,0.757,0.705,0.299,0.833,6.242,0.837,0.688,0.584,2.209,16.819,18.056,0.746,1.206,1.255,,30.010,0.722,7.452,3.442,1.260,2.317,9.952,0.059,0.000,0.000,-0.041,9.095,0.431,1.45%,-1.133,0.410,AAPL,03783310
001690,14593,2018-09-30,2019-06-30,2019-08-31,18.651,0.108,13.201,4.352,4.385,4.434,4.434,3.642,13.671,0.254,0.215,0.296,0.249,0.426,0.255,0.262,0.214,0.499,0.286,0.183,0.500,0.289,0.500,0.985,0.385,0.314,0.541,0.459,0.571,0.459,0.040,0.032,0.336,0.032,0.262,0.321,1.471,0.196,0.419,0.371,0.749,0.675,0.299,0.844,6.207,0.846,0.696,0.588,2.285,16.326,17.728,0.802,1.256,1.298,,34.627,0.738,7.469,3.660,1.313,2.425,8.503,0.061,0.000,0.000,-0.038,9.780,0.384,1.48%,-1.956,0.399,AAPL,03783310
001690,14593,2018-09-30,2019-06-30,2019-09-30,19.676,0.108,13.201,4.670,4.705,4.757,4.757,3.842,14.422,0.254,0.215,0.296,0.249,0.426,0.255,0.262,0.214,0.499,0.286,0.183,0.500,0.289,0.500,0.985,0.385,0.314,0.541,0.459,0.571,0.459,0.040,0.032,0.336,0.032,0.262,0.321,1.471,0.196,0.419,0.371,0.749,0.675,0.299,0.844,6.207,0.846,0.696,0.588,2.285,16.326,17.728,0.802,1.256,1.298,,34.627,0.738,7.469,3.660,1.313,2.425,8.503,0.061,0.000,0.000,-0.038,10.317,0.412,1.38%,-2.098,0.467,AAPL,03783310
