merge_date,avg_sentiment_neg,avg_sentiment_neu,avg_sentiment_pos,avg_sentiment_polarity,daily_news_count
2020-08-20,0.14088498,0.0416424,0.81747264,0.67658764,1
2020-08-21,0.90542924,0.081972875,0.01259787,-0.8928314,1
2020-08-24,0.15761982,0.14490958,0.69747066,0.53985083,5
2020-08-25,0.21107276,0.7728433,0.01608399,-0.19498877,2
2020-08-27,0.5892846,0.39560303,0.01511228,-0.5741723,2
2020-08-28,0.8567557,0.121795766,0.021448582,-0.83530706,3
2020-08-31,0.50811446,0.066533625,0.42535195,-0.08276251,2
2020-09-02,0.096049294,0.36682677,0.537124,0.44107467,8
2020-09-03,0.3039813,0.110970035,0.5850487,0.2810674,4
2020-09-04,0.46139857,0.031948775,0.50665265,0.04525405,4
2020-09-08,0.048331723,0.93269867,0.018969657,-0.029362066,1
2020-09-09,0.7505633,0.13407333,0.1153634,-0.63519984,3
2020-09-10,0.113305785,0.65145344,0.23524082,0.12193503,1
2020-09-11,0.76373565,0.121719755,0.11454458,-0.6491911,2
2020-09-14,0.51460457,0.40772894,0.077666394,-0.4369382,4
2020-09-15,0.5736546,0.3576083,0.0687371,-0.5049175,1
2020-09-16,0.038312536,0.7317622,0.2299254,0.19161285,1
2020-09-17,0.8096749,0.17006502,0.020260047,-0.7894149,5
2020-09-22,0.845314,0.1201251,0.034560867,-0.81075317,1
2020-09-24,0.6749919,0.06586925,0.25913885,-0.41585302,5
2020-09-28,0.1475093,0.8439302,0.008560495,-0.1389488,2
2020-09-29,0.024675542,0.03291473,0.9424097,0.91773415,3
2020-10-01,0.103282765,0.73398745,0.16272978,0.05944702,4
2020-10-06,0.18343273,0.8001832,0.016384156,-0.16704857,1
2020-10-07,0.41381532,0.573039,0.013145746,-0.40066957,1
2020-10-08,0.3216525,0.6583374,0.020010045,-0.30164248,3
2020-10-09,0.65260154,0.0832153,0.26418313,-0.3884184,1
2020-10-12,0.5258076,0.20376925,0.27042314,-0.2553845,6
2020-10-13,0.03676823,0.03217629,0.9310555,0.8942872,2
2020-10-16,0.5591585,0.349737,0.09110447,-0.46805406,5
2020-10-20,0.020507848,0.014165212,0.965327,0.94481915,1
2020-10-21,0.77593195,0.19337542,0.030692657,-0.74523926,4
2020-10-22,0.47448903,0.51420134,0.011309673,-0.46317935,1
2020-10-23,0.529359,0.45818216,0.01245879,-0.5169002,2
2020-10-24,0.18560228,0.03080981,0.78358793,0.5979856,2
2020-10-26,0.92496526,0.032478515,0.042556174,-0.8824091,2
2020-10-27,0.7692871,0.21737428,0.013338628,-0.7559485,2
2020-10-28,0.52757674,0.37617263,0.09625064,-0.4313261,1
2020-10-29,0.046532374,0.010996538,0.9424712,0.8959388,2
2020-10-30,0.28248075,0.3028477,0.41467157,0.13219082,5
2020-11-02,0.056927215,0.21015032,0.73292243,0.67599523,5
2020-11-03,0.8528546,0.12372551,0.023419898,-0.8294347,2
2020-11-09,0.07582638,0.014726669,0.909447,0.8336206,6
2020-11-10,0.9111636,0.061662205,0.027174175,-0.88398945,1
2020-11-11,0.12829006,0.2265654,0.6451445,0.51685447,3
2020-11-13,0.5241516,0.15464766,0.32120073,-0.20295088,2
2020-11-14,0.38019744,0.2141442,0.40565842,0.025460988,1
2020-11-23,0.16243128,0.8277559,0.009812723,-0.15261856,2
2020-11-25,0.4865559,0.4546727,0.058771376,-0.42778453,2
2020-11-28,0.74622077,0.22232436,0.0314549,-0.71476585,2
2020-11-30,0.46185455,0.26248878,0.27565667,-0.18619788,1
2020-12-01,0.8209813,0.17025383,0.008764824,-0.8122165,1
2020-12-04,0.031015705,0.02128601,0.94769835,0.91668266,2
2020-12-05,0.5170736,0.23188643,0.25103995,-0.26603362,3
2020-12-06,0.1218179,0.020419199,0.8577629,0.735945,2
2020-12-07,0.79995,0.0385116,0.1615384,-0.63841164,2
2020-12-09,0.90167546,0.078258015,0.02006647,-0.88160896,1
2020-12-10,0.026630701,0.045154475,0.92821485,0.90158415,2
2020-12-11,0.37169546,0.37021956,0.25808498,-0.113610476,2
2020-12-14,0.16111949,0.01564335,0.8232372,0.66211766,6
2020-12-15,0.039106213,0.3689987,0.5918951,0.5527889,10
2020-12-16,0.32266882,0.64671284,0.030618355,-0.29205048,6
2020-12-17,0.04291006,0.011954317,0.9451356,0.9022256,4
2020-12-19,0.030352583,0.009038697,0.9606088,0.9302562,6
2020-12-21,0.021469738,0.008598684,0.96993166,0.94846195,2
2020-12-22,0.36896133,0.32499,0.30604866,-0.06291269,4
2020-12-23,0.65474075,0.17519845,0.17006077,-0.48467997,6
2020-12-24,0.39102826,0.035778727,0.573193,0.18216476,2
2020-12-25,0.16024593,0.82237864,0.017375503,-0.14287043,1
2020-12-28,0.32965937,0.45179093,0.21854967,-0.111109726,6
2020-12-29,0.84308136,0.109894894,0.04702379,-0.7960576,1
