feature,combined_score,lasso_score,rf_score,pca_score
ps,0.8208222773585749,0.9741086066238764,0.5757636273858602,0.9125945980659882
roe,0.8026023218009198,0.9999999999997928,0.45152226863895656,0.9562846967640098
bm,0.6666666666644326,0.0,0.9999999999962487,0.9999999999970491
CAPEI,0.585074768750183,0.0,0.8246867796534466,0.9305375265971026
roa,0.4624968430193778,0.05076905791293571,0.3912986723355233,0.9454227988096745
evm,0.4064736559961252,0.0,0.30642827463159455,0.912992693356781
de_ratio,0.3515404149797668,0.0,0.07043439701350138,0.984186847925799
pe_op_basic,0.32388871988825185,0.008804241003685391,0.018853140854453797,0.9440087778066164
pe_op_dil,0.32023294545746794,0.0,0.017599674426007964,0.9430991619463959
npm,0.2937238886709881,0.0,0.09477702440922642,0.7863946416037378
